"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","is_venezuela","horizon_years_after_end","endpoint_year","horizon_index_start_100","horizon_years","horizon_label","fall_magnitude","horizon_ratio_to_start","total_years_from_start","horizon_cagr","post_disaster_ratio_to_end","post_disaster_cagr","highlight","reference_label","is_source_reference"
"FMI WEO (PIB per cápita)","imf_weo_ETH_3","Ethiopia (1983-1985)","ETH","Ethiopia",1983,1985,-0.18860020121238,2,FALSE,5,1990,88.5027237382391,5,"5 años después",0.18860020121238,0.885027237382391,7,-0.0172967855055838,1.09074125813783,0.0175232657644893,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_CHL_1","Chile (1981-1983)","CHL","Chile",1981,1983,-0.186751438070071,2,FALSE,5,1988,97.6412342841415,5,"5 años después",0.186751438070071,0.976412342841415,7,-0.00340423517457988,1.20063211734956,0.0372465317334785,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_PHL_2","Philippines (1982-1985)","PHL","Philippines",1982,1985,-0.186641230934468,3,FALSE,5,1990,91.0945541365591,5,"5 años después",0.186641230934468,0.910945541365591,8,-0.0115913173039435,1.11997998424751,0.0229209004204765,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LVA_2","Latvia (2007-2010)","LVA","Latvia",2007,2010,-0.186162407128713,3,FALSE,5,2015,103.940536864297,5,"5 años después",0.186162407128713,1.03940536864297,8,0.00484278716152264,1.2771655889916,0.0501454178721299,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_EST_4","Estonia (2007-2009)","EST","Estonia",2007,2009,-0.185911546067415,2,FALSE,5,2014,99.3038741569482,5,"5 años después",0.185911546067415,0.993038741569482,7,-0.000997445224169557,1.21981676164605,0.0405403342731789,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LSO_4","Lesotho (2016-2020)","LSO","Lesotho",2016,2020,-0.183964383096619,4,FALSE,5,2025,89.3570606522697,5,"5 años después",0.183964383096619,0.893570606522697,9,-0.0124254832073225,1.09501422243497,0.0183192462009134,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_ARE_3","United Arab Emirates (1987-1988)","ARE","United Arab Emirates",1987,1988,-0.183798882681564,1,FALSE,5,1993,106.004248078467,5,"5 años después",0.183798882681564,1.06004248078467,6,0.00976553861781482,1.29875156783338,0.0536714603952149,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_BRB_13","Barbados (2017-2020)","BRB","Barbados",2017,2020,-0.180561296583334,3,FALSE,5,2025,109.363414377476,5,"5 años después",0.180561296583334,1.09363414377476,8,0.0112511012850949,1.33461372914756,0.0594271968169067,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_URY_1","Uruguay (1981-1985)","URY","Uruguay",1981,1985,-0.178814533815694,4,FALSE,5,1990,92.6167688985748,5,"5 años después",0.178814533815694,0.926167688985748,9,-0.0084860078436525,1.1278422806108,0.02435307216976,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_ZMB_1","Zambia (1981-1987)","ZMB","Zambia",1981,1987,-0.177819002553055,6,FALSE,5,1992,75.0379486401833,5,"5 años después",0.177819002553055,0.750379486401833,11,-0.0257690894580617,0.912669459318482,-0.0181103016265174,"Otros países","",FALSE
